;accuracy_lag;accuracy_SMA;accuracy_SARIMAX;starting_on
AMP;0.5196078431372549;0.5163398692810458;0.5784313725490197;2021-04-15 00:00:00
LTC;0.5255474452554745;0.5172054223149114;0.5557872784150156;2019-07-02 00:00:00
ADA;0.5005213764337852;0.5057351407716372;0.5130344108446299;2019-07-02 00:00:00
SNX;0.49125168236877526;0.5208613728129206;0.5100942126514132;2020-02-03 00:00:00
IOTX;0.5419847328244275;0.5;0.49363867684478374;2019-12-22 00:00:00
MITH;0.49530761209593327;0.4848800834202294;0.6225234619395204;2019-07-02 00:00:00
TFUEL;0.5318039624608968;0.502606882168926;0.6287799791449427;2019-07-02 00:00:00
XMR;0.5067778936392076;0.49530761209593327;0.502606882168926;2019-07-02 00:00:00
ARDR;0.5359749739311783;0.49009384775808135;0.48279457768508866;2019-07-02 00:00:00
RLY;0.46715328467153283;0.4306569343065693;0.4744525547445255;2021-10-01 00:00:00
PERP;0.5328467153284672;0.5328467153284672;0.5620437956204379;2021-10-01 00:00:00
LUNA;0.5329268292682927;0.4658536585365854;0.4682926829268293;2019-11-18 00:00:00
REQ;0.5484880083420229;0.5067778936392076;0.5057351407716372;2019-07-02 00:00:00
ZRX;0.5391032325338895;0.4859228362877998;0.4921793534932221;2019-07-02 00:00:00
NEO;0.5109489051094891;0.5151199165797706;0.5067778936392076;2019-07-02 00:00:00
MFT;0.5922836287799792;0.4848800834202294;0.5474452554744526;2019-07-02 00:00:00
WRX;0.5515151515151515;0.4681818181818182;0.47575757575757577;2020-04-26 00:00:00
HC;0.49530761209593327;0.5109489051094891;0.516162669447341;2019-07-02 00:00:00
REEF;0.5176470588235295;0.47352941176470587;0.5117647058823529;2021-03-12 00:00:00
STORJ;0.5453597497393118;0.4880083420229406;0.5338894681960376;2019-07-02 00:00:00
NULS;0.5119916579770595;0.5182481751824818;0.5464025026068822;2019-07-02 00:00:00
BAL;0.5170556552962298;0.49371633752244165;0.47755834829443444;2020-08-07 00:00:00
STPT;0.5683003128258602;0.4880083420229406;0.5724713242961418;2019-07-02 00:00:00
SHIB;0.5232067510548524;0.45147679324894513;0.510548523206751;2021-06-23 00:00:00
NANO;0.5422314911366006;0.5067778936392076;0.5349322210636079;2019-07-02 00:00:00
DASH;0.5182481751824818;0.49009384775808135;0.49113660062565173;2019-07-02 00:00:00
RLC;0.5338894681960376;0.48175182481751827;0.5140771637122002;2019-07-02 00:00:00
DATA;0.5516162669447341;0.49009384775808135;0.5662148070907195;2019-07-02 00:00:00
KSM;0.4961948249619482;0.4977168949771689;0.5098934550989346;2020-04-29 00:00:00
THETA;0.5192909280500522;0.4994786235662148;0.529718456725756;2019-07-02 00:00:00
LINK;0.5119916579770595;0.49530761209593327;0.4994786235662148;2019-07-02 00:00:00
MTL;0.5755995828988529;0.47132429614181437;0.5224191866527633;2019-07-02 00:00:00
SOL;0.5167785234899329;0.5268456375838926;0.5;2020-06-29 00:00:00
DGB;0.529718456725756;0.5057351407716372;0.5109489051094891;2019-07-02 00:00:00
GRT;0.5153664302600472;0.475177304964539;0.48226950354609927;2020-12-19 00:00:00
AION;0.5328467153284672;0.5140771637122002;0.5130344108446299;2019-07-02 00:00:00
XLM;0.5245046923879041;0.5213764337851929;0.5182481751824818;2019-07-02 00:00:00
COMP;0.49834983498349833;0.466996699669967;0.47854785478547857;2020-06-19 00:00:00
DUSK;0.5272727272727272;0.4818181818181818;0.4863636363636364;2020-04-26 00:00:00
MTA;0.520746887966805;0.5477178423236515;0.5518672199170125;2020-10-21 00:00:00
BNB;0.4942648592283629;0.4880083420229406;0.5057351407716372;2019-07-02 00:00:00
OGN;0.5363636363636364;0.5015151515151515;0.47878787878787876;2020-04-26 00:00:00
XTZ;0.5109489051094891;0.4921793534932221;0.5067778936392076;2019-07-02 00:00:00
KAVA;0.5632022471910112;0.46629213483146065;0.4592696629213483;2020-03-05 00:00:00
CQT;0.5182481751824818;0.48905109489051096;0.48175182481751827;2021-10-01 00:00:00
ANKR;0.5687919463087249;0.47651006711409394;0.5318791946308725;2020-06-29 00:00:00
TROY;0.4943820224719101;0.4681647940074906;0.630461922596754;2019-12-07 00:00:00
XRP;0.5255474452554745;0.5318039624608968;0.5401459854014599;2019-07-02 00:00:00
XEM;0.5067778936392076;0.5224191866527633;0.5818561001042752;2019-07-02 00:00:00
KNC;0.5307612095933264;0.4629822732012513;0.4556830031282586;2019-07-02 00:00:00
LRC;0.5245046923879041;0.48383733055265904;0.5422314911366006;2019-07-02 00:00:00
